titles,links,text,prices
Leica Leitz Summicron 1:2 / 90 M,https://fotohandeldelfshaven.nl/product/leica-leitz-summicron-12-90-m/,"
Leica Leitz Summicron 1:2 / 90 M

Price: €500,00This Leitz Summicron 1:2 / 90mm lens has been made in Canada in the mid 1970s. Even though it’s a bit larger than the actual version Summicron 90s it is an excellent performer with beautiful rendering. This Summicron comes in a worn condition. It has obvious marks and paint loss  .....
Add to cartLeica Leitz Summicron 1:2 / 90 MMaartenOctober 11, 2022May 7, 2023","Price: €500,00"
Nikon AF Nikkor 20-35mm F/2.8D autofocus wide angle zoom,https://fotohandeldelfshaven.nl/product/nikon-af-nikkor-20-35mm-f-2-8d-autofocus-wide-angle-zoom/,"
Nikon AF Nikkor 20-35mm F/2.8D autofocus wide angle zoom

Price:   SoldThis autofocus wide angle zoom was introduced in late 1993. Its a fullframe lens that can be used on both film and digital camera’s with a AF-D drive motor built in the body. (so all the FX marked DSLR’s) It was the first autofocus wide angle zoom and therefor very  .....
Read moreNikon AF Nikkor 20-35mm F/2.8D autofocus wide angle zoomMaartenOctober 11, 2022May 7, 2023",Price:   Sold
Nikkor 24mm F/2.8 AI-S with HN-1 lenshood,https://fotohandeldelfshaven.nl/product/nikkor-24mm-f-2-8-ai-s-with-hn-1-lenshood/,"
Nikkor 24mm F/2.8 AI-S with HN-1 lenshood

Price:   SoldThis wide angle for the Nikon F system is in great condition. There is very little user marks on the housing and the glass is in perfect condition. Focus is smooth and the lettering on the lens is like new. This lens comes with its original caps and the original  .....
Read moreNikkor 24mm F/2.8 AI-S with HN-1 lenshoodMaartenOctober 11, 2022May 7, 2023",Price:   Sold
Leica Summicron 50mm F/2 v3 + 12585 lenshood,https://fotohandeldelfshaven.nl/product/leica-summicron-50mm-f-2-v3-12585-lenshood/,"
Leica Summicron 50mm F/2 v3 + 12585 lenshood

Price:   SoldThe third version of the 50mm summicron has a weird reputation for being Leica’s worst 50mm. That isnt true! This lens performs like any other Leica 50mm from that era and surely is a great standard for any Leica M body, for a relatively nice price. This model was produced  .....
Read moreLeica Summicron 50mm F/2 v3 + 12585 lenshoodMaartenOctober 11, 2022May 7, 2023",Price:   Sold
Nikon Micro-Nikkor 60mm 1:2.8 Af lens,https://fotohandeldelfshaven.nl/product/nikon-micro-nikkor-60mm-12-8-af-lens/,"
Nikon Micro-Nikkor 60mm 1:2.8 Af lens

Price: €250,00Auto focus macro lens for Nikon. Perfect all round lens for use with Nikon F4 or F5 cameras, since it focus all the way from infinity up to 1:1 life size. Perfect for close focus and macro work. The lens comes in a good condition. regular wear to barrel. Smooth  .....
Add to cartNikon Micro-Nikkor 60mm 1:2.8 Af lensMaartenOctober 11, 2022May 7, 2023","Price: €250,00"
"Nikon N PC-E Nikkor 24mm 1:3.5D ED, Tilt / shift lens",https://fotohandeldelfshaven.nl/product/nikon-n-pc-e-nikkor-24mm-13-5d-ed-tilt-shift-lens/,"
Nikon N PC-E Nikkor 24mm 1:3.5D ED, Tilt / shift lens

Price:   SoldA highly specialized lens made for a small group of enthousiasts who need the ability to use the camera movements found on the older large format cameras. Being able to tilt and shift the lens makes it possible to correct the perspective of yor photo’s in camera when taking the  .....
Read moreNikon N PC-E Nikkor 24mm 1:3.5D ED, Tilt / shift lensMaartenOctober 11, 2022May 7, 2023",Price:   Sold
"Carl Zeiss Sonnar 4/150 CF, T*, Hasselblad, Boxed",https://fotohandeldelfshaven.nl/product/carl-zeiss-sonnar-4-150-cf-t-hasselblad-boxed/,"
Carl Zeiss Sonnar 4/150 CF, T*, Hasselblad, Boxed

Price:   SoldAlmost everybody has seen foto’s that were shot with the Hasselblad 150mm Sonnar, this was one of the lenses that was brought to the moon and the famous earth rising over the moon photo was taken with an this lens. Through the years Hasselblad perfected the 150mm Sonnar with newer  .....
Read moreCarl Zeiss Sonnar 4/150 CF, T*, Hasselblad, BoxedMaartenOctober 11, 2022May 7, 2023",Price:   Sold
"Carl Zeiss Makro-Planar 4/120 CF, T*, Hasselblad, Boxed",https://fotohandeldelfshaven.nl/product/carl-zeiss-makro-planar-4-120-cf-t-hasselblad-boxed/,"
Carl Zeiss Makro-Planar 4/120 CF, T*, Hasselblad, Boxed

Price:   SoldWhen it comes to quality there is nothing to worry about with Hasselblad Carl Zeiss lenses. Usually these lenses don’t focus incredibly close and will need extention tubes for macro photography. This lens solves that issue. The 120mm Makro Planar has a minimum focus distance of 80cm which gives an  .....
Read moreCarl Zeiss Makro-Planar 4/120 CF, T*, Hasselblad, BoxedMaartenOctober 11, 2022May 7, 2023",Price:   Sold
Minolta MD 20mm 1:2.8 + hood,https://fotohandeldelfshaven.nl/product/minolta-md-20mm-12-8-hood/,"
Minolta MD 20mm 1:2.8 + hood

Price: €400,00Hard to find wide 20mm wide angle lens for Minolta SLR cameras. In excellent condition. some regular wear to barrel from previous use. Smooth focus and snappy aperture. Good optics. Comes complete with original caps and hood
Add to cartMinolta MD 20mm 1:2.8 + hoodMaartenOctober 11, 2022May 7, 2023","Price: €400,00"
"Leica Leitz Elmarit-R 1:2.8 / 28 R-only, Boxed",https://fotohandeldelfshaven.nl/product/leica-leitz-elmarit-r-12-8-28-r-only-boxed/,"
Leica Leitz Elmarit-R 1:2.8 / 28 R-only, Boxed

Price:   SoldPretty late Leitz Wetzlar Elmarit-R 28mm lens. made around 1987. Comes complete with it’s hood and back cap in it’s original box. Lacking front cap though. The lens comes in an excellent condition. just light sings of previous use. Smooth focus and snappy aperture. some internal dust otherwise all excellent  .....
Read moreLeica Leitz Elmarit-R 1:2.8 / 28 R-only, BoxedMaartenOctober 11, 2022May 7, 2023",Price:   Sold
"Carl Zeiss Sonnar 5.6 / 250mm Superachromat C T*, Hasselblad lens",https://fotohandeldelfshaven.nl/product/carl-zeiss-sonnar-5-6-250mm-superachromat-c-t-hasselblad-lens/,"
Carl Zeiss Sonnar 5.6 / 250mm Superachromat C T*, Hasselblad lens

Price: €1.700,00Even though the regular Sonnar 250mm is already a very good lens. This Carl Zeiss Superachromat is even better. It is mainly intended for scientific purposes as it is fully corrected for the full color spectrum including IR and UV. It made use of highly expensive LFuorite glass. Colors turns  .....
Add to cartCarl Zeiss Sonnar 5.6 / 250mm Superachromat C T*, Hasselblad lensMaartenOctober 11, 2022May 7, 2023","Price: €1.700,00"
Nikon 8×30 7.5° Military Green Binoculars,https://fotohandeldelfshaven.nl/product/nikon-8x30-7-5-military-green-binoculars/,"
Nikon 8×30 7.5° Military Green Binoculars

Price:   SoldThese Binoculars by Nikon are made in Japan and come in a militairy spec green color. Made of very sturdy materials and in a plastic green waterproof coating. The glass is in very good shape. No scratches on lenses, no fungus or haze inside the optics. Comes with a matching  .....
Read moreNikon 8×30 7.5° Military Green BinocularsMaartenOctober 11, 2022May 7, 2023",Price:   Sold
Canon EYE Level Finder FN for F-1N,https://fotohandeldelfshaven.nl/product/canon-eye-level-finder-fn-for-f-1n/,"
Canon EYE Level Finder FN for F-1N

Price:   SoldThis eye level prism finder is made for the New Canon F-1 body. Glass is very clear and there is no haze or seperation in the prism elements. Only shows very little user marks on top of the prism housing. Comes with a nice clear transport case as well.
Read moreCanon EYE Level Finder FN for F-1NMaartenOctober 11, 2022May 7, 2023",Price:   Sold
Mamiya Winding Crank for 645 Super and Pro,https://fotohandeldelfshaven.nl/product/mamiya-winding-crank-for-645-super-and-pro/,"
Mamiya Winding Crank for 645 Super and Pro

Price:   SoldThis Mamiya winding crank is suited for the Mamiya 645 pro and 645 super models. Can not be mounted on the 645E. Mounts very easy with the clip on mount. good condition
Read moreMamiya Winding Crank for 645 Super and ProMaartenOctober 11, 2022May 7, 2023",Price:   Sold
Leica NOOKY close focus adapter for Elmar 5cm,https://fotohandeldelfshaven.nl/product/leica-nooky-close-focus-adapter-for-elmar-5cm/,"
Leica NOOKY close focus adapter for Elmar 5cm

Price:   SoldThis Leica NOOKY is a special adapter ring allowing the Elmar 5cm to have close focus capabilities. The Elmar needs to be mounted in the collapsed position, using the notches on the elmars lens barrel. This item is very nice and solid built. Shows some minor signs of use.
Read moreLeica NOOKY close focus adapter for Elmar 5cmMaartenOctober 11, 2022May 7, 2023",Price:   Sold
"Fujifilm Pro 400H, 5-pack 120 film, expired late 2012",https://fotohandeldelfshaven.nl/product/fujifilm-pro-400h-5-pack-120-film-expired-late-2012/,"
Fujifilm Pro 400H, 5-pack 120 film, expired late 2012

Price:   SoldThe most popular film by Fuji. Allows for beautiful soft tones with a shift to the green hues. Ideal for portrait or wedding photography. 5-pack of 120 film expired in december 2012.
Read moreFujifilm Pro 400H, 5-pack 120 film, expired late 2012MaartenOctober 11, 2022May 7, 2023",Price:   Sold
"Fujifilm Acros 100, 5-pack 120 film, expired mid 2017",https://fotohandeldelfshaven.nl/product/fujifilm-acros-100-5-pack-120-film-expired-mid-2017/,"
Fujifilm Acros 100, 5-pack 120 film, expired mid 2017

Price:   SoldFujifilm Acros 100 black and white film in 120 format. 5-pack that only expired in 2017, should still give great results and its a very popular film that unfortunately was discontinued.
Read moreFujifilm Acros 100, 5-pack 120 film, expired mid 2017MaartenOctober 11, 2022October 3, 2023",Price:   Sold
"Kodak Portra 160NC, 5-pack 120 film, expired mid 2009",https://fotohandeldelfshaven.nl/product/kodak-portra-160nc-5-pack-120-film-expired-mid-2009/,"
Kodak Portra 160NC, 5-pack 120 film, expired mid 2009

Price:   SoldKodak Portra 160 in the older Neutral Color variant. 5 pack op 120 film, expired in mid 2009.
Read moreKodak Portra 160NC, 5-pack 120 film, expired mid 2009MaartenOctober 11, 2022May 7, 2023",Price:   Sold
"Kodak Ektachrome 100 Plus/EPP 5-pack 120 film, expired 2009",https://fotohandeldelfshaven.nl/product/kodak-ektachrome-100-plus-epp-5-pack-120-film-expired-2009/,"
Kodak Ektachrome 100 Plus/EPP 5-pack 120 film, expired 2009

Price:   SoldKodak 100 ISO speed slide film ISO,120 format. Pack of 5 rolls that expired in mid 2009.
Read moreKodak Ektachrome 100 Plus/EPP 5-pack 120 film, expired 2009MaartenOctober 11, 2022May 7, 2023",Price:   Sold
Olympus Metal Lenshood for OM 55mm F/1.2 lens,https://fotohandeldelfshaven.nl/product/olympus-metal-lenshood-for-om-55mm-f-1-2-lens/,"
Olympus Metal Lenshood for OM 55mm F/1.2 lens

Price:   SoldThis metal slip-on styled lenshood is suited for the Olympus OM 55mm F/1.2 lens. It is in used but very good condition. Mounts on the front of the lens and can be secured with the screw.
Read moreOlympus Metal Lenshood for OM 55mm F/1.2 lensMaartenOctober 11, 2022May 7, 2023",Price:   Sold
Hasselblad Battery Charger 1. for ELM/ELX,https://fotohandeldelfshaven.nl/product/hasselblad-battery-charger-1-for-elm-elx/,"
Hasselblad Battery Charger 1. for ELM/ELX

Price: €25,00This is an original Hasselblad battery charger 1. type 8045 suited for ELX and ELM batteries. The charger is in good condition.
Add to cartHasselblad Battery Charger 1. for ELM/ELXMaartenOctober 11, 2022August 9, 2023","Price: €25,00"
Hasselblad Tripod Riser Adapter 1.5 for HTS,https://fotohandeldelfshaven.nl/product/hasselblad-tripod-riser-adapter-1-5-for-hts/,"
Hasselblad Tripod Riser Adapter 1.5 for HTS

Price: €100,00This adapter extends the distance between the camera body and the tripod head, to make room for the HTS attachment. The adapter block screws in the camera using the 1/4” screw, the bottom of the adapter has 1x 1/4” and 1x 3/8” mounting holes. Rises the camera by 30.5mm. In  .....
Add to cartHasselblad Tripod Riser Adapter 1.5 for HTSMaartenOctober 11, 2022May 7, 2023","Price: €100,00"
Hasselblad 3043326 Quick release tripod adapter,https://fotohandeldelfshaven.nl/product/hasselblad-3043326-quick-release-tripod-adapter/,"
Hasselblad 3043326 Quick release tripod adapter

Price:   SoldThis all metal adapter allows very fast mounting and releasing of all H and V series cameras to a tripod. The cameras built in tripod plate just slides in the adapter and a locking pin ensures the camera wont fall out. The connectiion can be tightened with the clamp on  .....
Read moreHasselblad 3043326 Quick release tripod adapterMaartenOctober 11, 2022July 26, 2023",Price:   Sold
Hasselblad 72534 DPS Magnifying Hood Finder 4×4,https://fotohandeldelfshaven.nl/product/hasselblad-72534-dps-magnifying-hood-finder-4x4/,"
Hasselblad 72534 DPS Magnifying Hood Finder 4×4

Price: €150,00This loupe finder was made for use on Hasselblad cameras with the CFV16 digital back attached. Mounts like any other finder would on a body, but only shows the sensor size area on the focusing screen. Used for critical focus. Comes in very good conditon.
Add to cartHasselblad 72534 DPS Magnifying Hood Finder 4×4MaartenOctober 11, 2022May 7, 2023","Price: €150,00"
Hasselblad Extension ring 16E,https://fotohandeldelfshaven.nl/product/hasselblad-extension-ring-16e/,"
Hasselblad Extension ring 16E

Price:   SoldThis exension ring is made for Hasselblad V series lenses using electronic contacts (CFE lenses). It extends the lens further away from the imaging plane and allowing you to focus closer on your subject. Excellent condition
Read moreHasselblad Extension ring 16EMaartenOctober 11, 2022May 7, 2023",Price:   Sold
Hasselblad 3053328 HVM viewfinder for H series cameras,https://fotohandeldelfshaven.nl/product/hasselblad-3053328-hvm-viewfinder-for-h-series-cameras/,"
Hasselblad 3053328 HVM viewfinder for H series cameras

Price:   SoldThis chimney styled viewfinder is a great accessory for photographers shooting low to the ground or on waste level heigth. Can be mounted on all digital and film H series cameras. Comes in used but very good condition. No scratches on glass elements and mounts perfectly.
Read moreHasselblad 3053328 HVM viewfinder for H series camerasMaartenOctober 11, 2022May 7, 2023",Price:   Sold
Hasselblad 3043370 Release cord for H series cameras,https://fotohandeldelfshaven.nl/product/hasselblad-3043370-release-cord-for-h-series-cameras/,"
Hasselblad 3043370 Release cord for H series cameras

Price:   SoldThis original cable release by Hasselblad is made for their H series bodies. It plugs in the camera with a 3.5mm jack cable and has a 50cm cable length. In very good, probably unused condition with original box.
Read moreHasselblad 3043370 Release cord for H series camerasMaartenOctober 11, 2022May 7, 2023",Price:   Sold
"Leica M7 0.72 body in chrome, boxed",https://fotohandeldelfshaven.nl/product/leica-m7-0-72-body-in-chrome-boxed/,"
Leica M7 0.72 body in chrome, boxed

Price:   SoldThe Leica M7 has been introduced in 2002 and was the first Leica rangefinder camera with electronic controlled shutter and aperture priority mode. It has the larger shutter dial as seen on the M6TTL and two mechanical times, 60 + 125. This Leica M7 comes in an excellent condition. Just  .....
Read moreLeica M7 0.72 body in chrome, boxedMaartenOctober 4, 2022June 19, 2023",Price:   Sold
Bronica SQ-AI kit + Zenzanon PS 1:2.8 / 80mm,https://fotohandeldelfshaven.nl/product/bronica-sq-ai-kit-zenzanon-ps-12-8-80mm/,"
Bronica SQ-AI kit + Zenzanon PS 1:2.8 / 80mm

Price:   SoldThe Zenza Brionica SQ-AI was the last in line of the popular SQ series cameras. This medium format camera has been introduced in 1990 and takes square pictures in 6×6 format on 120 film. The Bronca SQ-AI is an excellent Hasselblad alternative This Bronica SQ-AI kit comes in an excellent  .....
Read moreBronica SQ-AI kit + Zenzanon PS 1:2.8 / 80mmMaartenOctober 4, 2022June 19, 2023",Price:   Sold
Voigtlander Prominent II + Voigtlander 1:2/50 Ultron,https://fotohandeldelfshaven.nl/product/voigtlander-prominent-ii-voigtlander-12-50-ultron/,"
Voigtlander Prominent II + Voigtlander 1:2/50 Ultron

Price: €300,00Some people call this the best designed rangefinder system with interchangeable lenses ever produced. The Voigtlander Prominent II has an internal Synchro-compur leave shutter, a coupled rangefinder & viewfinder window that is twice as big a it’s predecessor and much more. This camera is in good external condition but it  .....
Add to cartVoigtlander Prominent II + Voigtlander 1:2/50 UltronMaartenOctober 4, 2022June 19, 2023","Price: €300,00"
Konica Big Mini Mermaid boxed,https://fotohandeldelfshaven.nl/product/konica-big-mini-mermaid-boxed/,"
Konica Big Mini Mermaid boxed

Price:   SoldAlmost everybody with a bit of knowledge about point & shoot cameras knows the Konica Big Mini, a small compact camera with an amazing lens. What not a lot of people know is that Konica also made a waterproof version of this camera: the Konica Mermaid waterproof Big Mini. Great  .....
Read moreKonica Big Mini Mermaid boxedMaartenOctober 4, 2022June 19, 2023",Price:   Sold
Nikon FE chrome + Nikon Nikkor 50mm 1:2 AI,https://fotohandeldelfshaven.nl/product/nikon-fe-chrome-nikon-nikkor-50mm-12-ai/,"
Nikon FE chrome + Nikon Nikkor 50mm 1:2 AI

Price:   SoldA high quality Nikon SLR with an electronic shutter. the Nikon FE is a beautifully designed camera with a nice clear finder, an integrated lightmeter and because of the electronic shutter an aperture priority exposure mode. This chrome Nikon FE is in beautiful external condition with little wear marks, there  .....
Read moreNikon FE chrome + Nikon Nikkor 50mm 1:2 AIMaartenOctober 4, 2022June 19, 2023",Price:   Sold
Canon AT-1 + Canon FD 28mm 1:2.8 S.C,https://fotohandeldelfshaven.nl/product/canon-at-1-canon-fd-28mm-12-8-s-c/,"
Canon AT-1 + Canon FD 28mm 1:2.8 S.C

Price:   SoldAlmost exactly the same as the popular Canon AE-1 both inside and out, the Canon AT-1 misses the shutter priorite exposure mode but has an needle match lightmeter which a lot of people prefer over the shutterspeed priority system of the Canon AE-1. This camera is in good condition but  .....
Read moreCanon AT-1 + Canon FD 28mm 1:2.8 S.CMaartenOctober 4, 2022June 19, 2023",Price:   Sold
"Nikon F2 + DE-1 Plain prism + Nikkor 1:2 / 50mm, Boxed",https://fotohandeldelfshaven.nl/product/nikon-f2-de-1-plain-prism-nikkor-12-50mm-boxed/,"
Nikon F2 + DE-1 Plain prism + Nikkor 1:2 / 50mm, Boxed

Price:   SoldNikon took a look at the well built and very durable Nikon F and modified all the parts that would make the camera even more practical in use: it got a higher top speed, an open swinging backdoor, a better placed shutter button and a bigger variaty of prism finders.  .....
Read moreNikon F2 + DE-1 Plain prism + Nikkor 1:2 / 50mm, BoxedMaartenOctober 4, 2022June 19, 2023",Price:   Sold
Hasselblad 503CW Chrome kit + Zeiss Planar 2.8 / 80 CFE,https://fotohandeldelfshaven.nl/product/hasselblad-503cw-chrome-kit-zeiss-planar-2-8-80-cfe/,"
Hasselblad 503CW Chrome kit + Zeiss Planar 2.8 / 80 CFE

Price:   SoldHere we have a very late Hasselblad 503Cw kit. The body comes with original packaging and has been made in 2009! Comes with the latest CFE version Carl Zeiss Planar 2.8 / 80mm lens and a super bright Acute Matte D focusing screen with split image. THe waist level finder  .....
Read moreHasselblad 503CW Chrome kit + Zeiss Planar 2.8 / 80 CFEMaartenOctober 4, 2022June 19, 2023",Price:   Sold
Voigtlander 50mm 1:2.5 Color-Skopar boxed,https://fotohandeldelfshaven.nl/product/voigtlander-50mm-12-5-color-skopar-boxed/,"
Voigtlander 50mm 1:2.5 Color-Skopar boxed

Price:   SoldA quite uncommon but great Voigtlander lens. It is small and has a great brass build which gives the lens a very high quality feel. The lens is in good but slightly worn cosmetic condition with some wear on the focus tab and some brassing on the aperture ring and  .....
Read moreVoigtlander 50mm 1:2.5 Color-Skopar boxedMaartenOctober 4, 2022May 7, 2023",Price:   Sold
"Minolta Shift CA 35mm 1:2.8, Boxed",https://fotohandeldelfshaven.nl/product/minolta-shift-ca-35mm-12-8-boxed/,"
Minolta Shift CA 35mm 1:2.8, Boxed

Price:   SoldRare and interesting Minolta Shift lens. The lens has the VFC (variable field curvature) as well. A Minolta technology only found on the also rare Minolta VFC 24mm lens. Also interesting about this shift lens is it’s auto aperture, Most shift lenses require the aperture to close down manually before  .....
Read moreMinolta Shift CA 35mm 1:2.8, BoxedMaartenOctober 4, 2022May 7, 2023",Price:   Sold
"Canon Serenar f:1.9 50mm, Leica screw mount",https://fotohandeldelfshaven.nl/product/canon-serenar-f1-9-50mm-leica-screw-mount/,"
Canon Serenar f:1.9 50mm, Leica screw mount

Price:   SoldBuild very similar to the collapsibe Summicron. But this is the Slightly faster Serenar 1:1.9 / 50mm lens. In Leica screw mount. also couples correctly to Leica M with adapter. Beautiful build quality. Lens in excellent shape. Some regular age related wear. Smooth focus and aperture. Bit oil to blades  .....
Read moreCanon Serenar f:1.9 50mm, Leica screw mountMaartenOctober 4, 2022May 26, 2023",Price:   Sold
Canon Fish-Eye lens FD 15mm 1:2.8,https://fotohandeldelfshaven.nl/product/canon-fish-eye-lens-fd-15mm-12-8/,"
Canon Fish-Eye lens FD 15mm 1:2.8

Price:   SoldFish-eye lens for Canon FD cameras. Hard to find nowadays and this lens comes in an excellent condition. Smooth focus and good aperture. Built in filter turret is smooth to set. Glass in excellent shape. Impressive glass and impressive results, complete with the original caps
Read moreCanon Fish-Eye lens FD 15mm 1:2.8MaartenOctober 4, 2022May 7, 2023",Price:   Sold
Nikon Nikkor 24mm F/2 AI,https://fotohandeldelfshaven.nl/product/nikon-nikkor-24mm-f-2-ai/,"
Nikon Nikkor 24mm F/2 AI

Price:   SoldThis 24mm is a nice compact wide angle with a fast aperture of F/2. There are some light linear scratches on the frontlens but these wouldnt have a negative impact on image quality or use. A small dent can be seen in the filterthread but filters are still mountable. The  .....
Read moreNikon Nikkor 24mm F/2 AIMaartenOctober 4, 2022May 7, 2023",Price:   Sold
"Leica Leitz Summilux-R 1:1.4 / 80mm, 3-cam lens",https://fotohandeldelfshaven.nl/product/leica-leitz-summilux-r-11-4-80mm-3-cam-lens/,"
Leica Leitz Summilux-R 1:1.4 / 80mm, 3-cam lens

Price:   SoldThis Summilux 1:1.4 / 80mm is a fast portrait lens to fit any Leica R body or alternative camera with adapter. Stunning optics and hard to find. The lens comes in an excellent shape. some regular wear to housing. Smooth focus but slightly heavy. Snappy aperture and glass in perfect  .....
Read moreLeica Leitz Summilux-R 1:1.4 / 80mm, 3-cam lensMaartenOctober 4, 2022May 7, 2023",Price:   Sold
Canon lens FD 85mm 1:1.2 L,https://fotohandeldelfshaven.nl/product/canon-lens-fd-85mm-11-2-l/,"
Canon lens FD 85mm 1:1.2 L

Price: €1.200,00Super fast portrait lens for Canon FD. This hard to find 85mm 1:1.2 Canon L lens comes in a good user condition. Cosmetics are good. few faint marks and pait loss to housing. mostly to filter rim. smooth focus but focus rubber bit slippery (a drip of glue will do  .....
Add to cartCanon lens FD 85mm 1:1.2 LMaartenOctober 4, 2022May 7, 2023","Price: €1.200,00"
Leitz Summicron-R 50mm F/2 R-only,https://fotohandeldelfshaven.nl/product/leitz-summicron-r-50mm-f-2-r-only/,"
Leitz Summicron-R 50mm F/2 R-only

Price:   SoldThis fast 50mm for the Leica R system was made in 1978 and is still in perfect condition. The housing and lettering on the lens are like new. The glas is clean and focus is super smooth as it should be across the range. This version can only be used  .....
Read moreLeitz Summicron-R 50mm F/2 R-onlyMaartenOctober 4, 2022May 7, 2023",Price:   Sold
"Hasselblad HC 35mm F/3.5 lens, (only 6700 clicks)",https://fotohandeldelfshaven.nl/product/hasselblad-hc-35-35mm-6700-clicks/,"
Hasselblad HC 35mm F/3.5 lens, (only 6700 clicks)

Price:   SoldThis wide angle prime lens by Hasselblad can be used on their H system cameras. Works both on film and digital due its large image circle. Has a decent autofocus speed and very good optics. Manual focus ring is also a pleasure to use. This lens is in used condition  .....
Read moreHasselblad HC 35mm F/3.5 lens, (only 6700 clicks)MaartenOctober 4, 2022June 23, 2023",Price:   Sold
"Hasselblad XH lens adapter, boxed",https://fotohandeldelfshaven.nl/product/hasselblad-xh-lens-adapter-boxed/,"
Hasselblad XH lens adapter, boxed

Price:   SoldThis adapter was made by Hasselblad to use H series lenses on their newer X series cameras, such as the X1D and X2D. The H series lenses are great and still can be used perfectly with this adapter: aperture, AF, and exif are all still fully operational. Comes in very  .....
Read moreHasselblad XH lens adapter, boxedMaartenOctober 4, 2022May 7, 2023",Price:   Sold
Hasselblad 40576 Lens shade 110,https://fotohandeldelfshaven.nl/product/hasselblad-40576-lens-shade-110/,"
Hasselblad 40576 Lens shade 110

Price:   SoldThis original bayonett styled lenshood is in very good condiiton. Suited for 110mm F/2 lens with B70 diameter. regular sings of previous use
Read moreHasselblad 40576 Lens shade 110MaartenOctober 4, 2022July 19, 2023",Price:   Sold
"Hasselblad 42218 Focusing Screen, central grid and split image rangefinder, Boxed new old stock",https://fotohandeldelfshaven.nl/product/hasselblad-42218-focusing-screen-central-grid-and-split-image-rangefinder-boxed-new-old-stock/,"
Hasselblad 42218 Focusing Screen, central grid and split image rangefinder, Boxed new old stock

Price:   SoldThis focusing screen by Hasselblad is suited for many of their medium format SLR systems. It has a grid overlay and split image rangefinder patch. Comes in NEW condition, never opened box.
Read moreHasselblad 42218 Focusing Screen, central grid and split image rangefinder, Boxed new old stockMaartenOctober 4, 2022May 7, 2023",Price:   Sold
Hasselblad 51700 Quick Focusing handle for CF 40-80 lenses,https://fotohandeldelfshaven.nl/product/hasselblad-51700-quick-focusing-handle-for-cf-40-80-lenses/,"
Hasselblad 51700 Quick Focusing handle for CF 40-80 lenses

Price:   SoldThis focusing handle mounts around the focusing ring of your CF 40mm to CF 80mm lenses. This handle generates leverage and makes focusing more quick and precise. Comes with original box, probably never used.
Read moreHasselblad 51700 Quick Focusing handle for CF 40-80 lensesMaartenOctober 4, 2022May 7, 2023",Price:   Sold
"Hasselblad 3043370 Release cord H, boxed",https://fotohandeldelfshaven.nl/product/hasselblad-3043370-release-cord-h-boxed/,"
Hasselblad 3043370 Release cord H, boxed

Price:   SoldThis original cable release by Hasselblad is made for their H series bodies. It plugs in the camera with a 3.5mm jack cable and has a 50cm cable length. In very good, probably unused condition with original box.
Read moreHasselblad 3043370 Release cord H, boxedMaartenOctober 4, 2022May 31, 2023",Price:   Sold
"Hasselblad 42420 Correction Eyepiece -2D/45, +1D/90 for prism finders",https://fotohandeldelfshaven.nl/product/hasselblad-42420-correction-eyepiece-2d-45-1d-90-for-prism-finders/,"
Hasselblad 42420 Correction Eyepiece -2D/45, +1D/90 for prism finders

Price:   SoldThis dioptric glass can be mounted on these Hasselblad prism finders: NC-2 PM, PM5, PME, PME3, PME5, PME51, PME90. The function of this diopter glass varies depending on the type of finder used, hence the name.
Read moreHasselblad 42420 Correction Eyepiece -2D/45, +1D/90 for prism findersMaartenOctober 4, 2022May 7, 2023",Price:   Sold
Hasselblad CR123 battery holder for H series cameras,https://fotohandeldelfshaven.nl/product/hasselblad-cr123-battery-holder-for-h-series-cameras/,"
Hasselblad CR123 battery holder for H series cameras

Price: €150,00This original Hasselblad battery adapter takes 3x CR123A batteries to use on your digital or film H series Hasselblad camera body. The adapter also is the cameras grip that ensures a comfortable operation whilst keeping your batteries on the ideal temperature for best performance. In good condition with regular signs  .....
Add to cartHasselblad CR123 battery holder for H series camerasMaartenOctober 4, 2022May 7, 2023","Price: €150,00"
"Hasselblad XPAN leather systembag, very good condition",https://fotohandeldelfshaven.nl/product/hasselblad-xpan-leather-systembag-very-good-condition/,"
Hasselblad XPAN leather systembag, very good condition

Price:   SoldThis original leather case by Hasselblad was especially made for their XPAN system. It can house a XPAN with mounted lens, 1-2 extra lenses, loads of accessoires and film. Ofcourse can mount different cameras as well and it is looking very stylish and modern. Very good condition, hardly any signs  .....
Read moreHasselblad XPAN leather systembag, very good conditionMaartenOctober 4, 2022May 7, 2023",Price:   Sold
Nikon DR-4 Right angle finder,https://fotohandeldelfshaven.nl/product/nikon-dr-4-right-angle-finder-2/,"
Nikon DR-4 Right angle finder

Price:   SoldRight angle viewing attachment used on the rounded eyepiece Nikon SLR’s. Can be focused and locked on the correct dipoter/focus. Will not work on SLR cameras from Nikon with a square eyepiece. In very nice condition with original protecting cap.
Read moreNikon DR-4 Right angle finderMaartenOctober 4, 2022May 25, 2023",Price:   Sold
